0
//Type	Name                               
136   	"[Bound] Storm Zahard Armor"         
137   	"[Bound] Princie Armor"              
138   	"Darkangel Knight Armor"             
139   	"Darkangel Wizard Armor"             
140   	"Darkangel Elf Armor (A)"            
141   	"Darkangel Summoner Armor"           
142   	"Darkangel Magic Armor (A)"          
143   	"Darkangel Lord Armor"               
144   	"Darkangel Fighter Armor"            
145   	"Darkangel Lancer Armor"             
146   	"Tigris Armor"                       
147   	"Crimson Skull Armor"                
148   	"Grace Armor"                        
149   	"Constant Armor"                     
150   	"Holyangel Knight Armor"             
151   	"Holyangel Wizard Armor"             
152   	"Holyangel Elf Armor (A)"            
153   	"Holyangel Summoner Armor"           
154   	"Holyangel Magic Armor (A)"          
155   	"Holyangel Lord Armor"               
156   	"Holyangel Fighter Armor"            
157   	"Holyangel Lancer Armor"             
158   	"Bloodangel Elf Armor (B)"           
159   	"Darkangel Elf Armor (B)"            
160   	"Holyangel Elf Armor (B)"            
161   	"Bloodangel Magic Armor (B)"         
162   	"Darkangel Magic Armor (B)"          
163   	"Holyangel Magic Armor (B)"          
164   	"Blue Eye Knight Armor"              
165   	"Blue Eye Wizard Armor"              
166   	"Blue Eye Elf Armor (A)"             
167   	"Blue Eye Summoner Armor"            
168   	"Blue Eye Magic Armor (A)"           
169   	"Blue Eye Lord Armor"                
170   	"Blue Eye Fighter Armor"             
171   	"Blue Eye Lancer Armor"              
172   	"Blue Eye Elf Armor (B)"             
173   	"Blue Eye Magic Armor (B)"           
174   	"Slayer Red Wing Armor"              
175   	"Slayer Armor (A)"                   
176   	"Slayer Demonic Armor (A)"           
177   	"Nightwing Armor"                    
178   	"Fidelity Armor"                     
179   	"Trace Armor"                        
180   	"Bloodangel Slayer Armor"            
181   	"Darkangel Slayer Armor"             
182   	"Holyangel Slayer Armor"             
183   	"Soul Slayer Armor"                  
184   	"Blue Eye Slayer Armor"              
185   	"Silverheart Slayer Armor"           
186   	"Slayer Armor (B)"                   
187   	"Slayer Demonic Armor (B)"           
188   	"[Bound] Slayer Demonic Armor"       
189   	"Silverheart Knight Armor"           
190   	"Silverheart Wizard Armor"           
191   	"Silverheart Elf Armor (A)"          
192   	"Silverheart Summoner Armor"         
193   	"Silverheart Magic Armor (A)"        
194   	"Silverheart Lord Armor"             
195   	"Silverheart Fighter Armor"          
196   	"Silverheart Lancer Armor"           
197   	"Silverheart Elf Armor (B)"          
198   	"Silverheart Magic Armor (B)"        
199   	"Silverheart Runist Armor"           
200   	"Bloodangel Knight Armor (Convic"    
201   	"Darkangel Knight Armor (Convict"    
202   	"Holyangel Knight Armor (Convict"    
203   	"Soul Knight Armor (Conviction)"     
204   	"Blue Eye Knight Armor (Convicti"    
205   	"Silverheart Knight Armor (Convi"    
206   	"Leather Gunner Armor"               
207   	"Scale Gunner Armor"                 
208   	"Round Gunner Armor"                 
209   	"Frere Armor"                        
210   	"Titan Gunner Armor"                 
211   	"Stormwinger Armor"                  
212   	"Bloodangel Gun Crusher Armor"       
213   	"Darkangel Gun Crusher Armor"        
214   	"Holyangel Gun Crusher Armor"        
215   	"Soul Gun Crusher Armor"             
216   	"Blue Eye Gun Crusher Armor"         
217   	"Silver Heart Gun Crusher Armor"     
218   	"Scale Gunner Armor"                 
219   	"Frere Armor"                        
220   	"[Bound] Frere Armor"                
221   	"Manticore Knight Armor"             
222   	"Manticore Wizard Armor"             
223   	"Manticore Elf Armor"                
224   	"Manticore Summoner Armor"           
225   	"Manticore Magic Armor"              
226   	"Manticore Lord Armor"               
227   	"Manticore Fighter Armor"            
228   	"Manticore Lancer Armor"             
229   	"Manticore Elf Armor"                
230   	"Manticore Magic Armor"              
231   	"Manticore Rune Wizard Armor"        
232   	"Manticore Slayer Armor"             
233   	"Manticore Knight Armor (Convict"    
234   	"Manticore Gun Crusher Armor"        
235   	"Glimmer Armor"                      
236   	"Light Ray Armor"                    
237   	"Flash Armor"                        
238   	"Magic Flare Armor"                  
239   	"Bright Armor"                       
240   	"Darjeeling Armor"                   
241   	"Blood Angel Light Wizard Armor"     
242   	"Dark Angel Light Wizard Armor"      
243   	"Holy Angel Light Wizard Armor"      
244   	"Soul Light Wizard Armor"            
245   	"Blue Eye Light Wizard Armor"        
246   	"Silver Heart Light Wizard Armor"    
247   	"Manticore Light Wizard Armor"       
248   	"Brilliant Light Wizard Armor"       
249   	"Glimmer Armor"                      
250   	"Light Ray Armor"                    
251   	"[Bound] Light Ray Armor"            
252   	"Mage Pad Armor"                     
253   	"Mage Sphinx Armor"                  
254   	"Mage Legendary Armor"               
256   	"Noble Pixie Armor"                  
257   	"Finesse Armor"                      
258   	"Geist Armor"                        
259   	"Blood Angel Mage Armor"             
260   	"Dark Angel Mage Armor"              
261   	"Holy Angel Mage Armor"              
262   	"Soul Mage Armor"                    
263   	"Blue Eye Mage Armor"                
264   	"Silver Heart Mage Armor"            
265   	"Manticore Mage Armor"               
266   	"Brilliant Mage Armor"               
267   	"Mage Sphinx Armor"                  
268   	"Mage Legendary Armor"               
269   	"[Bound] Mage Legendary Armor"       
270   	"Brilliant Knight Armor"             
271   	"Brilliant Wizard Armor"             
272   	"Brilliant Elf Armor"                
273   	"Brilliant Summoner Armor"           
274   	"Brilliant Magic Armor"              
275   	"Brilliant Lord Armor"               
276   	"Brilliant Fighter Armor"            
277   	"Brilliant Lancer Armor"             
278   	"Brilliant Elf Armor"                
279   	"Brilliant Magic Armor"              
280   	"Brilliant Rune Wizard Armor"        
281   	"Brilliant Slayer Armor"             
282   	"Brilliant Knight Armor (Belief)"    
283   	"Brilliant Gun Crusher Armor"        
284   	"Apocalypse Knight Armor"            
285   	"Apocalypse Wizard Armor"            
286   	"Apocalypse Elf Armor (B)"           
287   	"Apocalypse Summoner Armor"          
288   	"Apocalypse Magic Armor (B)"         
289   	"Apocalypse Lord Armor"              
290   	"Apocalypse Fighter Armor"           
291   	"Apocalypse Lancer Armor"            
292   	"Apocalypse Elf Armor (A)"           
293   	"Apocalypse Magic Armor (A)"         
294   	"Apocalypse Rune Wizard Armor"       
295   	"Apocalypse Slayer Armor"            
296   	"Apocalypse Knight Armor (Belief"    
297   	"Apocalypse Gun Crusher Armor"       
298   	"Apocalypse Light Wizard Armor"      
299   	"Apocalypse Mage Armor"              
300   	"Illusion Knight Scale Armor"        
301   	"Illusion Knight Iron Plate Armo"    
302   	"Steel Plate Armor"                  
303   	"Black Origin Armor"                 
304   	"Primal Armor"                       
305   	"Apex Armor"                         
306   	"Blood Angel Illusion Knight Arm"    
307   	"Dark Angel Illusion Knight Armo"    
308   	"Holy Angel Illusion Knight Armo"    
309   	"Soul Illusion Knight Armor"         
310   	"Blue Eye Illusion Knight Armor"     
311   	"Silver Heart Illusion Knight Ar"    
312   	"Manticore Illusion Knight Armor"    
313   	"Brilliant Illusion Knight Armor"    
314   	"Apocalypse Illusion Knight Armo"    
315   	"Illusion Knight Iron Plate Armo"    
316   	"Steel Plate Armor"                  
317   	"[Bound] Steel Plate Armor"          
end	
	
9	
//Type	Name                                 
0     	"Bronze Pants"                       
1     	"Dragon Pants"                       
2     	"Pad Pants"                          
3     	"Legendary Pants"                    
4     	"Bone Pants"                         
5     	"Leather Pants"                      
6     	"Scale Pants"                        
7     	"Sphinx Pants"                       
8     	"Brass Pants"                        
9     	"Plate Pants"                        
10    	"Vine Pants"                         
11    	"Silk Pants"                         
12    	"Wind Pants"                         
13    	"Spirit Pants"                       
14    	"Guardian Pants"                     
15    	"Storm Crow Pants"                   
16    	"Black Dragon Pants"                 
17    	"Dark Phoenix Pants"                 
18    	"Grand Soul Pants"                   
19    	"Holy Spirit Pants"                  
20    	"Thunder Hawk Pants"                 
21    	"Great Dragon Pants"                 
22    	"Dark Soul Pants"                    
23    	"Hurricane Pants"                    
24    	"Red Spirit Pants"                   
25    	"Light Plate Pants"                  
26    	"Adamantine Pants"                   
27    	"Dark Steel Pants"                   
28    	"Dark Master Pants"                  
29    	"Dragon Knight Pants"                
30    	"Venom Mist Pants"                   
31    	"Sylphid Ray Pants"                  
32    	"Volcano Pants"                      
33    	"Sunlight Pants"                     
34    	"Ashcrow Pants"                      
35    	"Eclipse Pants"                      
36    	"Iris Pants"                         
37    	"Valiant Pants"                      
38    	"Glorious Pants"                     
39    	"Violent Wind Pants"                 
40    	"Red Wing Pants"                     
41    	"Ancient Pants"                      
42    	"Demonic Pants"                      
43    	"Storm Blitz Pants"                  
44    	"Eternal Wing Pants"                 
45    	"Titan  Pants"                       
46    	"Brave Pants"                        
47    	"Phantom  Pants"                     
48    	"Destroy Pants"                      
49    	"Seraphim Pants"                     
50    	"Divine Pants"                       
51    	"Royal Pants"                        
52    	"Hades Pants"                        
53    	"Succubus Pants"                     
54    	"Lazy Wind Pants"                    
55    	"Dark Devil Pants"                   
56    	"Sticky Pants"                       
57    	"Hell Night Pants"                   
58    	"Ambition Pants"                     
59    	"Sacred Fire Pants"                  
60    	"Storm Jahad Pants"                  
61    	"Piercing Groove Pants"              
62    	"Scale Pants"                        
63    	"Silk Pants"                         
64    	"Sphinx Pants"                       
65    	"Violent Wind Pants"                 
66    	"Dark Soul Pants"                    
67    	"Dragon Pants"                       
68    	"Guardian Pants"                     
69    	"Legendary Pants"                    
70    	"Red Wing Pants"                     
71    	"Atlans Pants"                       
72    	"Storm Jahad Pants"                  
73    	"Phoenix Soul Pants"                 
74    	"Stormwing Pants"                    
75    	"Light Lord Pants"                   
76    	"Magic Knight Pants"                 
91    	"Robust Pants"                       
92    	"Gru Hill Pants"                     
93    	"Princie Pants"                      
94    	"Hirat Pants"                        
95    	"Sate Pants"                         
96    	"Robust Pants"                       
97    	"Princie Pants"                      
98    	"Bloodangel Knight Pants"            
99    	"Bloodangel Wizard Pants"            
100   	"Bloodangel Elf Pants (A)"           
101   	"Bloodangel Summoner Pants"          
102   	"Bloodangel Magic Pants (A)"         
103   	"Bloodangel Lord Pants"              
104   	"Bloodangel Fighter Pants"           
105   	"Bloodangel Lancer Pants"            
106   	"Awakening Soul Knight Pants"        
107   	"Awakening Soul Wizard Pants"        
108   	"Awakening Soul Elf Pants (A)"       
109   	"Awakening Soul Summoner Pants"      
110   	"Awakening Soul Magic Pants (A)"     
111   	"Awakening Soul Lord Pants"          
112   	"Awakening Soul Fighter Pants"       
113   	"Awakening Soul Lancer Pants"        
114   	"Awakening Soul Elf Pants (B)"       
115   	"Awakening Soul Magic Pants (B)"     
116   	"Rune Pad Pants"                     
117   	"Rune Spink Pants"                   
118   	"Rune Legendary Pants"               
119   	"Kanaz Pants"                        
120   	"Rune Divine Pants"                  
121   	"Rune Light Pants"                   
122   	"Bloodangel Runist Pants"            
123   	"Darkangel Runist Pants"             
124   	"Rune Spink Pants"                   
125   	"Rune Legendary Pants"               
126   	"[Bound] Rune Legendary Armor"       
127   	"Holyangel Runist Pants"             
128   	"Awakening Soul Runist Pants"        
129   	"Blue Eye Runist Pants"              
130   	"[Bound] Dragon Pants"               
131   	"[Bound] Legendary Pants"            
132   	"[Bound] Guardian Pants"             
133   	"[Bound] Atlans Pants"               
134   	"[Bound] Adamantine Pants"           
135   	"[Bound] Red Winged Pants"           
136   	"[Bound] Storm Zahard Pants"         
137   	"[Bound] Princie Pants"              
138   	"Darkangel Knight Pants"             
139   	"Darkangel Wizard Pants"             
140   	"Darkangel Elf Pants (A)"            
141   	"Darkangel Summoner Pants"           
142   	"Darkangel Magic Pants (A)"          
143   	"Darkangel Lord Pants"               
144   	"Darkangel Fighter Pants"            
145   	"Darkangel Lancer Pants"             
146   	"Tigris Pants"                       
147   	"Crimson Skull Pants"                
148   	"Grace Pants"                        
149   	"Constant Pants"                     
150   	"Holyangel Knight Pants"             
151   	"Holyangel Wizard Pants"             
152   	"Holyangel Elf Pants (A)"            
153   	"Holyangel Summoner Pants"           
154   	"Holyangel Magic Pants (A)"          
155   	"Holyangel Lord Pants"               
156   	"Holyangel Fighter Pants"            
157   	"Holyangel Lancer Pants"             
158   	"Bloodangel Elf Pants (B)"           
159   	"Darkangel Elf Pants (B)"            
160   	"Holyangel Elf Pants (B)"            
161   	"Bloodangel Magic Pants (B)"         
162   	"Darkangel Magic Pants (B)"          
163   	"Holyangel Magic Pants (B)"          
164   	"Blue Eye Knight Pants"              
165   	"Blue Eye Wizard Pants"              
166   	"Blue Eye Elf Pants (A)"             
167   	"Blue Eye Summoner Pants"            
168   	"Blue Eye Magic Pants (A)"           
169   	"Blue Eye Lord Pants"                
170   	"Blue Eye Fighter Pants"             
171   	"Blue Eye Lancer Pants"              
172   	"Blue Eye Elf Pants (B)"             
173   	"Blue Eye Magic Pants (B)"           
174   	"Slayer Red Wing Pants"              
175   	"Slayer Pants (A)"                   
176   	"Slayer Demonic Pants (A)"           
177   	"Night Wing Pants"                   
178   	"Fidelity Pants"                     
179   	"Trace Pants"                        
180   	"Bloodangel Slayer Pants"            
181   	"Darkangel Slayer Pants"             
182   	"Holyangel Slayer Pants"             
183   	"Soul Slayer Pants"                  
184   	"Blue Eye Slayer Pants"              
185   	"Silverheart Slayer Pants"           
186   	"Slayer Pants (B)"                   
187   	"Slayer Demonic Pants (B)"           
188   	"[Bound] Slayer Demonic Pants"       
189   	"Silverheart Knight Pants"           
190   	"Silverheart Wizard Pants"           
191   	"Silverheart Elf Pants (A)"          
192   	"Silverheart Summoner Pants"         
193   	"Silverheart Magic Pants (A)"        
194   	"Silverheart Lord Pants"             
195   	"Silverheart Fighter Pants"          
196   	"Silverheart Lancer Pants"           
197   	"Silverheart Elf Pants (B)"          
198   	"Silverheart Magic Pants (B)"        
199   	"Silverheart Runist Pants"           
200   	"Blood Angel Knight Pants (Convi"    
201   	"Darkangel Knight Pants (Convict"    
202   	"Holy Angel Knight Pants (Convic"    
203   	"Soul Knight Pants (Conviction)"     
204   	"Blue Eye Knight Pants (Convicti"    
205   	"Silverheart Knight Pants (Convi"    
206   	"Leather Gunner Pants"               
207   	"Scale Gunner Pants"                 
208   	"Round Gunner Pants"                 
209   	"Frere Pants"                        
210   	"Titan Gunner Pants"                 
211   	"Stormwinger Pants"                  
212   	"Bloodangel Gun Crusher Pants"       
213   	"Darkangel Gun Crusher Pants"        
214   	"Holyangel Gun Crusher Pants"        
215   	"Soul Gun Crusher Pants"             
216   	"Blue Eye Gun Crusher Pants"         
217   	"Silver Heart Gun Crusher Pants"     
218   	"Scale Gunner Pants"                 
219   	"Frere Pants"                        
220   	"[Bound] Frere Pants"                
221   	"Manticore Knight Pants"             
222   	"Manticore Wizard Pants"             
223   	"Manticore Elf Pants"                
224   	"Manticore Summoner Pants"           
225   	"Manticore Magic Pants"              
226   	"Manticore Lord Pants"               
227   	"Manticore Fighter Pants"            
228   	"Manticore Lancer Pants"             
229   	"Manticore Elf Pants"                
230   	"Manticore Magic Pants"              
231   	"Manticore Rune Wizard Pants"        
232   	"Manticore Slayer Pants"             
233   	"Manticore Knight Pants (Convict"    
234   	"Manticore Gun Crusher Pants"        
235   	"Glimmer Pants"                      
236   	"Light Ray Pants"                    
237   	"Flash Pants"                        
238   	"Magic Flare Pants"                  
239   	"Bright Pants"                       
240   	"Darjeeling Pants"                   
241   	"Blood Angel Light Wizard Pants"     
242   	"Dark Angel Light Wizard Pants"      
243   	"Holy Angel Light Wizard Pants"      
244   	"Soul Light Wizard Pants"            
245   	"Blue Eye Light Wizard Pants"        
246   	"Silver Heart Light Wizard Pants"    
247   	"Manticore Light Wizard Pants"       
248   	"Brilliant Light Wizard Pants"       
249   	"Glimmer Pants"                      
250   	"Light Ray Pants"                    
251   	"[Bound] Light Ray Pants"            
252   	"Mage Pad Pants"                     
253   	"Mage Sphinx Pants"                  
254   	"Mage Legendary Pants"               
256   	"Noble Pixie Pants"                  
257   	"Finesse Pants"                      
258   	"Geist Pants"                        
259   	"Blood Angel Mage Pants"             
260   	"Dark Angel Mage Pants"              
261   	"Holy Angel Mage Pants"              
262   	"Soul Mage Pants"                    
263   	"Blue Eye Mage Pants"                
264   	"Silver Heart Mage Pants"            
265   	"Manticore Mage Pants"               
266   	"Brilliant Mage Pants"               
267   	"Mage Sphinx Pants"                  
268   	"Mage Legendary Pants"               
269   	"[Bound] Mage Legendary Pants"       
270   	"Brilliant Knight Pants"             
271   	"Brilliant Wizard Pants"             
272   	"Brilliant Elf Pants"                
273   	"Brilliant Summoner Pants"           
274   	"Brilliant Magic Pants"              
275   	"Brilliant Lord Pants"               
276   	"Brilliant Fighter Pants"            
277   	"Brilliant Lancer Pants"             
278   	"Brilliant Elf Pants"                
279   	"Brilliant Magic Pants"              
280   	"Brilliant Rune Wizard Pants"        
281   	"Brilliant Slayer Pants"             
282   	"Brilliant Knight Pants (Belief)"    
283   	"Brilliant Gun Crusher Pants"        
284   	"Apocalypse Knight Pants"            
285   	"Apocalypse Wizard Pants"            
286   	"Apocalypse Elf Pants (B)"           
287   	"Apocalypse Summoner Pants"          
288   	"Apocalypse Magic Pants (B)"         
289   	"Apocalypse Lord Pants"              
290   	"Apocalypse Fighter Pants"           
291   	"Apocalypse Lancer Pants"            
292   	"Apocalypse Elf Pants (A)"           
293   	"Apocalypse Magic Pants (A)"         
294   	"Apocalypse Rune Wizard Pants"       
295   	"Apocalypse Slayer Pants"            
296   	"Apocalypse Knight Pants (Belief"    
297   	"Apocalypse Gun Crusher Pants"       
298   	"Apocalypse Light Wizard Pants"      
299   	"Apocalypse Mage Pants"              
300   	"Illusion Knight Scale Pants"        
301   	"Illusion Knight Iron Plate Pant"    
302   	"Steel Plate Pants"                  
303   	"Black Origin Pants"                 
304   	"Primal Pants"                       
305   	"Apex Pants"                         
306   	"Blood Angel Illusion Knight Pan"    
307   	"Dark Angel Illusion Knight Pant"    
308   	"Holy Angel Illusion Knight Pant"    
309   	"Soul Illusion Knight Pants"         
310   	"Blue Eye Illusion Knight Pants"     
311   	"Silver Heart Illusion Knight Pa"    
312   	"Manticore Illusion Knight Pants"    
313   	"Brilliant Illusion Knight Pants"    
314   	"Apocalypse Illusion Knight Pant"    
315   	"Illusion Knight Iron Plate Pant"    
316   	"Steel Plate Pants"                  
317   	"[Bound] Steel Plate Pants"          
end	
	
10	
//Type	Name                                 
0     	"Bronze Gloves"                      
1     	"Dragon Gloves"                      
2     	"Pad Gloves"                         
3     	"Legendary Gloves"                   
4     	"Bone Gloves"                        
5     	"Leather Gloves"                     
6     	"Scale Gloves"                       
7     	"Sphinx Gloves"                      
8     	"Brass Gloves"                       
9     	"Plate Gloves"                       
10    	"Vine Gloves"                        
11    	"Silk Gloves"                        
12    	"Wind Gloves"                        
13    	"Spirit Gloves"                      
14    	"Guardian Gloves"                    
15    	"Storm Crow Gloves"                  
16    	"Black Dragon Gloves"                
17    	"Dark Phoenix Gloves"                
18    	"Grand Soul Gloves"                  
19    	"Holy Spirit Gloves"                 
20    	"Thunder Hawk Gloves"                
21    	"Great Dragon Gloves"                
22    	"Dark Soul Gloves"                   
23    	"Hurricane Gloves"                   
24    	"Red Spirit Gloves"                  
25    	"Light Plate Gloves"                 
26    	"Adamantine Gloves"                  
27    	"Dark Steel Gloves"                  
28    	"Dark Master Gloves"                 
29    	"Dragon Knight Gloves"               
30    	"Venom Mist Gloves"                  
31    	"Sylphid Ray Gloves"                 
32    	"Volcano Gloves"                     
33    	"Sunlight Gloves"                    
34    	"Ashcrow Gloves"                     
35    	"Eclipse Gloves"                     
36    	"Iris Gloves"                        
37    	"Valiant Gloves"                     
38    	"Glorious Gloves"                    
39    	"Violent Wind Gloves"                
40    	"Red Wing Gloves"                    
41    	"Ancient Gloves"                     
42    	"Demonic Gloves"                     
43    	"Storm Blitz Gloves"                 
44    	"Eternal Wing Gloves"                
45    	"Titan  Gloves"                      
46    	"Brave Gloves"                       
47    	"Phantom  Gloves"                    
48    	"Destroy Gloves"                     
49    	"Seraphim Gloves"                    
50    	"Divine Gloves"                      
51    	"Royal Gloves"                       
52    	"Hades Gloves"                       
53    	"Succubus Gloves"                    
54    	"Lazy Wind Gloves"                   
55    	"Dark Devil Gloves"                  
56    	"Sticky Gloves"                      
57    	"Hell Night Gloves"                  
58    	"Ambition Gloves"                    
62    	"Scale Gloves"                       
63    	"Silk Gloves"                        
64    	"Sphinx Gloves"                      
65    	"Violent Wind Gloves"                
66    	"Dark Soul Gloves"                   
67    	"Dragon Gloves"                      
68    	"Guardian Gloves"                    
69    	"Legendary Gloves"                   
70    	"Red Wing Gloves"                    
71    	"Atlans Gloves"                      
74    	"Stormwing Gloves"                   
75    	"Light Lord Gloves"                  
76    	"Magic Knight Gloves"                
91    	"Robust Gloves"                      
92    	"Gru Hill Gloves"                    
93    	"Princie Gloves"                     
94    	"Hirat Gloves"                       
95    	"Sate Gloves"                        
96    	"Robust Gloves"                      
97    	"Princie Gloves"                     
98    	"Bloodangel Knight Gloves"           
99    	"Bloodangel Wizard Gloves"           
100   	"Bloodangel Elf Gloves (A)"          
101   	"Bloodangel Summoner Gloves"         
102   	"Bloodangel Magic Gloves (A)"        
103   	"Bloodangel Lord Gloves"             
105   	"Bloodangel Lancer Gloves"           
106   	"Awakening Soul Knight Gloves"       
107   	"Awakening Soul Wizard Gloves"       
108   	"Awakening Soul Elf Gloves (A)"      
109   	"Awakening Soul Summoner Gloves"     
110   	"Awakening Soul Magic Gloves (A)"    
111   	"Awakening Soul Lord Gloves"         
113   	"Awakening Soul Lancer Gloves"       
114   	"Awakening Soul Elf Gloves (B)"      
115   	"Awakening Soul Magic Gloves (B)"    
116   	"Rune Pads Gloves"                   
117   	"Rune Spink Gloves"                  
118   	"Rune Legendary Gloves"              
119   	"Kanaz Gloves"                       
120   	"Rune Divine Gloves"                 
121   	"Rune Light Gloves"                  
122   	"Bloodangel Runist Glove"            
123   	"Darkangel Runist Gloves"            
124   	"Rune Spink Gloves"                  
125   	"Rune Legendary Gloves"              
126   	"[Bound] Rune Legendary Gloves"      
127   	"Holyangel Runist Gloves"            
128   	"Awakening Soul Runist Gloves"       
129   	"Blue Eye Runist Gloves"             
130   	"[Bound] Dragon Gloves"              
131   	"[Bound] Legendary Gloves"           
132   	"[Bound] Guardian Gloves"            
133   	"[Bound] Atlans Gloves"              
134   	"[Bound] Adamantine Gloves"          
135   	"[Bound] Red Winged Gloves"          
137   	"[Bound] Princie Gloves"             
138   	"Darkangel Knight Gloves"            
139   	"Darkangel Wizard Gloves"            
140   	"Darkangel Elf Gloves (A)"           
141   	"Darkangel Summoner Gloves"          
142   	"Darkangel Magic Gloves (A)"         
143   	"Darkangel Lord Gloves"              
145   	"Darkangel Lancer Gloves"            
148   	"Grace Gloves"                       
149   	"Constant Gloves"                    
150   	"Holyangel Knight Gloves"            
151   	"Holyangel Wizard Gloves"            
152   	"Holyangel Elf Gloves (A)"           
153   	"Holyangel Summoner Gloves"          
154   	"Holyangel Magic Gloves (A)"         
155   	"Holyangel Lord Gloves"              
157   	"Holyangel Lancer Gloves"            
158   	"Bloodangel Elf Gloves (B)"          
159   	"Darkangel Elf Gloves (B)"           
160   	"Holyangel Elf Gloves (B)"           
161   	"Bloodangel Magic Gloves (B)"        
162   	"Darkangel Magic Gloves (B)"         
163   	"Holyangel Magic Gloves (B)"         
164   	"Blue Eye Knight Gloves"             
165   	"Blue Eye Wizard Gloves"             
166   	"Blue Eye Elf Gloves (A)"            
167   	"Blue Eye Summoner Gloves"           
168   	"Blue Eye Magic Gloves (A)"          
169   	"Blue Eye Lord Gloves"               
171   	"Blue Eye Lancer Gloves"             
172   	"Blue Eye Elf Gloves (B)"            
173   	"Blue Eye Magic Gloves (B)"          
174   	"Slayer Red Wing Gloves"             
175   	"Slayer Gloves (A)"                  
176   	"Slayer Demonic Gloves (A)"          
177   	"Nightwing Gloves"                   
178   	"Fidelity Gloves"                    
179   	"Trace Gloves"                       
180   	"Bloodangel Slayer Gloves"           
181   	"Darkangel Slayer Gloves"            
182   	"Holyangel Slayer Gloves"            
183   	"Soul Slayer Gloves"                 
184   	"Blue Eye Slayer Gloves"             
185   	"Silver Heart Slayer Gloves"         
186   	"Slayer Gloves (B)"                  
187   	"Slayer Demonic Gloves (B)"          
188   	"[Bound] Slayer Demonic Gloves"      
189   	"Silverheart Knight Gloves"          
190   	"Silverheart Wizard Gloves"          
191   	"Silverheart Elf Gloves (A)"         
192   	"Silverheart Summoner Gloves"        
193   	"Silverheart Magic Gloves (A)"       
194   	"Silverheart Lord Gloves"            
196   	"Silverheart Lancer Gloves"          
197   	"Silverheart Elf Gloves (B)"         
198   	"Silverheart Magic Gloves (B)"       
199   	"Silverheart Runist Gloves"          
200   	"Bloodangel Knight Gloves (Convi"    
201   	"Darkangel Knight Gloves (Convic"    
202   	"Holyangel Knight Gloves (Convic"    
203   	"Soul Knight Gloves (Conviction)"    
204   	"Blue Knight Gloves (Conviction)"    
205   	"Silverheart Knight Gloves (Conv"    
206   	"Leather Gunner Gloves"              
207   	"Scale Gunner Glove"                 
208   	"Round Gunner Gloves"                
209   	"Frere Gloves"                       
210   	"Titan Gunner Gloves"                
211   	"Stormwinger Gloves"                 
212   	"Bloodangel Gun Crusher Gloves"      
213   	"Darkangel Gun Crusher Gloves"       
214   	"Holyangel Gun Crusher Gloves"       
215   	"Soul Gun Crusher Gloves"            
216   	"Blue Eye Gun Crusher Gloves"        
217   	"Silver Heart Gun Crusher Gloves"    
218   	"Scale Gunner Glove"                 
219   	"Frere Gloves"                       
220   	"[Bound] Frere Gloves"               
221   	"Manticore Knight Gloves"            
222   	"Manticore Wizard Gloves"            
223   	"Manticore Elf Gloves"               
224   	"Manticore Summoner Gloves"          
225   	"Manticore Magic Gloves"             
226   	"Manticore Lord Gloves"              
228   	"Manticore Lancer Gloves"            
229   	"Manticore Elf Gloves"               
230   	"Manticore Magic Gloves"             
231   	"Manticore Rune Wizard Gloves"       
232   	"Manticore Slayer Gloves"            
233   	"Manticore Knight Gloves (Convic"    
234   	"Manticore Gun Crusher Gloves"       
235   	"Glimmer Gloves"                     
236   	"Light Ray Gloves"                   
237   	"Flash Gloves"                       
238   	"Magic Flare Gloves"                 
239   	"Bright Gloves"                      
240   	"Darjeeling Gloves"                  
241   	"Blood Angel Light Wizard Gloves"    
242   	"Dark Angel Light Wizard Gloves"     
243   	"Holy Angel Light Wizard Gloves"     
244   	"Soul Light Wizard Gloves"           
245   	"Blue Eye Light Wizard Gloves"       
246   	"Silver Heart Light Wizard Glove"    
247   	"Manticore Light Wizard Gloves"      
248   	"Brilliant Light Wizard Gloves"      
249   	"Glimmer Gloves"                     
250   	"Light Ray Gloves"                   
251   	"[Bound] Light Ray Gloves"           
252   	"Mage Pad Gloves"                    
253   	"Mage Sphinx Gloves"                 
254   	"Mage Legendary Gloves"              
256   	"Noble Pick Market"                  
257   	"Finesse Gloves"                     
258   	"Geist Gloves"                       
259   	"Blood Angel Mage Gloves"            
260   	"Dark Angel Mage Gloves"             
261   	"Holy Angel Mage Gloves"             
262   	"Soul Mage Gloves"                   
263   	"Blue Eye Mage Gloves"               
264   	"Silver Heart Mage Gloves"           
265   	"Manticore Mage Gloves"              
266   	"Brilliant Mage Gloves"              
267   	"Mage Sphinx Gloves"                 
268   	"Mage Legendary Gloves"              
269   	"[Bound] Mage Legendary Gloves"      
270   	"Brilliant Knight Gloves"            
271   	"Brilliant Wizard Gloves"            
272   	"Brilliant Elf Gloves"               
273   	"Brilliant Summoner Gloves"          
274   	"Brilliant Magic Gloves"             
275   	"Brilliant Lord Gloves"              
277   	"Brilliant Lancer Gloves"            
278   	"Brilliant Elf Gloves"               
279   	"Brilliant Magic Gloves"             
280   	"Brilliant Rune Wizard Gloves"       
281   	"Brilliant Slayer Gloves"            
282   	"Brilliant Knight Gloves (Belief"    
283   	"Brilliant Gun Crusher Gloves"       
284   	"Apocalypse Knight Gloves"           
285   	"Apocalypse Wizard Gloves"           
286   	"Apocalypse Elf Gloves (B)"          
